id_pagto;num_pedido;valor_pago;metodo;dt_pagto
710183;58700;58.79;cartão;17/10/2025
717321;52162;1065.80;pix;2025-05-26
712109;60320;2728.68;PIX;13/09/2024
708695;50156;621.24;boleto;2024-09-03
710445;65981;1203.16;Boleto;18/02/2025
715057;51047;3195.06;boleto;27/06/2025
702992;62908;644.88;Boleto;10/04/2025
709586;66249;3270.16;Boleto;15/04/2026
712935;63181;1243.93;cartão;2025-08-17
707494;51669;-2000.21;pix;2024-07-03
708649;54332;881.70;boleto;07/01/2024
715937;55955;1642.55;Boleto;2026-03-17
709189;60008;24.73;Boleto;2025-10-04
703119;60414;-937.05;PIX;06/04/2025
703160;51613;780.19;pix;2026-01-30
707386;50937;3254.22;PIX;21/03/2024
709512;68271;698.05;cartão;28/04/2025
711141;63970;1904.19;cartao;2024-06-09
700076;52078;1079.60;boleto;15/02/2025
705869;57925;935.92;Boleto;2024-03-17
701964;56190;1720.30;cartão;01/09/2025
705496;65977;1745.56;pix;2024-03-04
703195;66784;2809.63;cartao;14/02/2025
700588;58838;2299.42;Boleto;2025-05-29
702415;66907;795.32;pix;2024-06-08
714899;58828;1230.94;Boleto;03/01/2026
712418;69410;1473.60;Boleto;2024-09-23
701692;53896;559.10;cartao;2026-03-19
706080;61328;2013.80;cartao;2025-03-09
707022;60313;2508.49;Boleto;2024-07-17
717244;61662;427.34;pix;17/09/2024
711904;57585;132.46;pix;2025-03-12
705462;65865;177.11;Boleto;19/01/2026
713424;59839;781.91;cartão;2025-08-11
712286;53581;291.32;boleto;2025-11-19
701338;50115;3005.44;PIX;10/06/2026
707871;50368;2222.29;pix;29/05/2026
703797;62520;111.47;cartão;20/04/2026
701078;58752;93.79;cartão;10/01/2026
709032;66066;1252.07;PIX;2025-12-30
701277;51773;1242.62;cartao;2024-07-13
701662;67306;2824.00;PIX;2025-01-01
708944;57814;2740.55;cartão;2025-07-21
712043;60282;611.23;PIX;2026-01-18
717758;53777;2999.36;PIX;2025-03-23
707711;59852;1543.47;cartão;2025-08-13
709364;66448;1988.80;Boleto;2026-02-21
715746;69617;732.38;cartao;2024-03-31
711208;55491;1916.51;cartão;15/11/2024
704569;68105;1221.76;pix;30/11/2025
715930;66074;1566.04;boleto;2025-05-07
714351;63315;359.22;boleto;16/02/2024
701689;62314;3037.59;Boleto;2025-05-22
712789;66522;1140.52;cartao;03/02/2024
700125;56629;1107.46;PIX;2026-03-11
713124;68401;881.50;PIX;2024-12-31
703654;60546;2782.39;pix;18/09/2025
710289;56086;2729.43;cartao;2026-02-10
703663;52185;280.26;cartao;10/05/2026
